Date,DayOfWeek,DayType,TotalOrders,Beef Bulalo,Pancit Bihon Guisado,Crispy Chicharon Bulaklak,Crispy Dinakdakan,Crispy Sisig Barkada,Calamares,Pancit Canton Guisado,Shanghai,Garlic Butter Bangus,Crispy Bagnet,CM1 Egg + Rice + Hungarian + Sisig,CM2 Egg + Rice + Nuggets + Sisig,CM3 Egg + Rice + Shanghai + Sisig,CM4 Egg + Rice + Bagnet + Nuggets,CM5 Egg + Rice + Bagnet + Sisig,CM6 Egg + Rice + Hotdog + Sisig,CM7 Egg + Rice + Bagnet + Hotdog,CM8 Egg + Rice + Bagnet + Hungarian,Sisilog,Bagnetsilog,Hungarian Silog,Shanghaisilog,Nuggets Silog,Hotsilog,Siomaisilog,Siomairice,Dinakdakansilog,Chicksilog,Bangsilog,Porksilog,4 in 1,Double Cheese,Shawarma,Hawaiian,Beefy Mushroom,Ham and Cheese,Bacon,Pepperoni,Sarap,exported_at
2022-03-01,Tuesday,Weekday,283,6,3,4,22,4,0,9,1,4,7,18,5,12,40,1,4,3,5,5,15,10,7,3,13,25,15,0,7,0,2,0,5,8,1,3,7,4,1,4,2026-06-19 12:57:02
2022-03-02,Wednesday,Weekday,240,7,0,0,2,35,8,8,2,6,0,7,17,8,17,11,1,16,0,6,1,0,3,2,3,6,0,1,5,2,9,6,13,7,3,8,3,3,10,4,2026-06-19 12:57:02
2022-03-03,Thursday,Weekday,195,6,6,11,14,5,2,5,2,4,9,7,3,1,3,1,13,3,1,0,5,6,3,0,4,3,7,6,3,1,25,3,6,1,3,0,4,17,2,0,2026-06-19 12:57:02
2022-03-04,Friday,Weekday,282,0,2,1,0,17,4,3,16,1,32,3,17,6,12,35,3,21,3,3,3,6,2,6,5,9,13,5,3,1,2,0,3,1,21,7,5,6,1,4,2026-06-19 12:57:02
2022-03-05,Saturday,Weekend,280,6,3,3,28,18,5,5,6,1,4,0,5,5,1,23,13,8,5,13,1,10,1,11,2,12,18,1,3,23,5,10,4,2,2,1,13,3,3,3,2026-06-19 12:57:02
2022-03-06,Sunday,Weekend,406,8,12,34,4,22,11,5,21,2,2,17,5,16,19,1,15,5,6,8,23,0,5,9,10,10,1,3,3,14,3,2,21,0,46,8,23,3,0,9,2026-06-19 12:57:02
2022-03-07,Monday,Weekday,247,9,8,1,10,16,5,11,12,8,0,3,0,5,4,0,2,1,10,22,0,19,5,3,0,5,10,9,0,0,4,2,1,2,11,16,6,20,2,5,2026-06-19 12:57:02
2022-03-08,Tuesday,Weekday,246,0,6,29,7,7,6,1,15,6,6,8,9,0,10,3,9,15,11,8,6,1,13,3,6,3,1,9,0,11,3,0,4,0,3,11,0,14,0,2,2026-06-19 12:57:02
2022-03-09,Wednesday,Weekday,181,6,2,0,2,1,7,2,6,10,3,11,2,15,0,7,3,3,3,5,0,1,6,5,15,7,14,6,1,0,7,3,0,1,14,4,3,3,1,2,2026-06-19 12:57:02
2022-03-10,Thursday,Weekday,156,3,0,8,2,12,9,1,6,3,14,1,7,5,2,1,5,6,2,6,3,7,1,11,2,3,0,1,4,2,10,0,2,3,0,1,3,4,3,3,2026-06-19 12:57:02
2022-03-11,Friday,Weekday,288,6,0,5,27,9,7,4,12,11,7,27,2,0,10,13,2,2,0,4,15,4,4,3,0,4,9,33,15,0,15,10,10,4,3,4,0,2,1,4,2026-06-19 12:57:02
2022-03-12,Saturday,Weekend,539,13,5,1,42,55,16,60,8,40,1,5,3,3,1,10,16,11,3,23,12,7,15,4,5,30,5,7,28,18,1,3,0,8,6,1,54,10,2,7,2026-06-19 12:57:02
2022-03-13,Sunday,Weekend,264,5,1,1,7,4,2,3,0,1,3,1,0,9,19,8,9,1,15,1,16,25,6,19,4,1,3,4,1,4,19,1,7,9,13,16,4,16,5,1,2026-06-19 12:57:02
2022-03-14,Monday,Weekday,216,4,5,1,5,10,1,5,8,4,0,0,2,14,1,6,1,3,10,7,0,3,0,4,6,1,1,2,13,30,0,6,2,2,6,16,23,5,2,7,2026-06-19 12:57:02
2022-03-15,Tuesday,Weekday,287,3,6,3,8,3,1,22,2,4,2,0,0,2,18,3,20,8,5,6,6,13,3,5,20,25,20,5,14,7,4,1,7,1,3,17,3,0,0,17,2026-06-19 12:57:02
2022-03-16,Wednesday,Weekday,333,6,3,17,18,6,8,13,9,2,28,7,3,5,0,2,15,0,6,6,0,36,2,3,4,2,0,13,32,2,12,10,14,5,3,5,14,19,1,2,2026-06-19 12:57:02
2022-03-17,Thursday,Weekday,168,8,4,15,5,3,2,4,0,3,8,1,7,4,10,0,1,3,1,4,5,0,3,4,2,10,6,4,5,2,10,3,4,5,1,5,1,2,1,12,2026-06-19 12:57:02
2022-03-18,Friday,Weekday,306,8,6,10,5,32,4,4,2,10,11,4,0,14,0,10,25,4,2,9,12,5,24,0,5,9,16,2,9,6,3,1,12,1,1,2,21,7,9,1,2026-06-19 12:57:02
2022-03-19,Saturday,Weekend,438,11,9,25,27,0,11,1,12,5,6,5,13,6,15,7,1,19,4,8,15,5,1,6,35,14,13,14,3,7,20,1,4,4,6,50,2,9,2,42,2026-06-19 12:57:02
2022-03-20,Sunday,Weekend,389,2,6,18,13,9,3,5,3,2,10,3,5,10,39,12,1,1,31,4,1,9,9,10,3,0,39,3,13,13,10,3,3,8,19,32,2,2,22,11,2026-06-19 12:57:02
2022-03-21,Monday,Weekday,261,13,1,7,9,13,3,0,5,1,7,21,5,12,1,9,27,1,0,4,0,12,21,4,4,4,12,0,7,8,7,1,7,0,1,18,14,0,1,1,2026-06-19 12:57:02
2022-03-22,Tuesday,Weekday,293,1,1,0,5,16,5,7,0,21,18,13,12,21,5,1,6,10,10,3,0,3,15,6,4,1,3,16,7,12,5,5,1,7,3,5,14,21,0,10,2026-06-19 12:57:02
2022-03-23,Wednesday,Weekday,262,2,5,0,4,8,0,5,21,2,15,5,9,2,2,2,0,2,7,16,12,9,2,3,3,2,6,6,3,3,16,10,3,17,17,3,5,5,19,11,2026-06-19 12:57:02
2022-03-24,Thursday,Weekday,296,0,2,7,10,3,20,14,22,23,21,7,12,1,13,1,16,4,1,1,0,14,16,10,3,1,0,3,27,3,5,1,3,8,11,4,0,4,3,2,2026-06-19 12:57:02
2022-03-25,Friday,Weekday,252,19,5,8,4,8,4,10,9,2,6,4,18,8,6,2,8,1,3,2,8,2,4,15,2,6,4,0,12,0,6,5,6,8,2,0,14,6,14,11,2026-06-19 12:57:02
2022-03-26,Saturday,Weekend,606,26,5,5,26,14,3,27,32,10,3,8,24,43,3,1,30,7,11,51,2,17,1,9,21,9,92,15,5,4,7,5,1,5,9,24,24,24,0,3,2026-06-19 12:57:02
2022-03-27,Sunday,Weekend,338,7,5,0,15,19,6,1,11,7,19,14,16,7,2,10,10,11,1,2,19,13,19,13,9,10,16,8,8,2,7,9,3,2,3,2,4,6,17,5,2026-06-19 12:57:02
2022-03-28,Monday,Weekday,248,3,0,10,6,19,7,12,2,8,5,25,7,2,4,1,7,1,6,3,8,13,10,11,1,0,9,3,4,0,3,0,13,1,5,0,12,3,12,12,2026-06-19 12:57:02
2022-03-29,Tuesday,Weekday,219,2,8,21,7,10,1,4,0,0,39,2,6,5,8,23,2,0,2,0,0,2,5,3,1,5,2,0,6,3,6,0,5,3,3,3,11,4,2,15,2026-06-19 12:57:02
2022-03-30,Wednesday,Weekday,233,6,1,5,2,2,3,14,12,4,8,1,27,22,6,9,7,6,0,4,8,8,2,14,1,4,6,7,5,1,1,5,4,1,5,2,8,11,1,0,2026-06-19 12:57:02
2022-03-31,Thursday,Weekday,237,6,5,5,11,13,13,4,3,3,2,4,2,13,4,4,3,0,0,3,0,4,11,11,6,1,9,9,1,6,1,7,25,0,9,6,23,3,7,0,2026-06-19 12:57:02
2022-04-01,Friday,Weekday,207,3,0,25,10,19,17,0,3,0,2,1,3,2,1,1,1,19,9,19,4,3,11,2,3,1,1,2,3,7,0,1,10,1,2,14,2,0,3,2,2026-06-19 12:57:02
2022-04-02,Saturday,Weekend,602,13,24,3,14,16,3,15,3,11,2,9,7,30,1,9,9,19,13,20,22,38,6,12,27,73,38,9,3,9,18,8,8,26,7,33,13,6,8,17,2026-06-19 12:57:02
2022-04-03,Sunday,Weekend,269,1,1,26,1,11,7,5,8,3,10,4,9,2,7,2,3,2,2,15,3,18,25,6,2,4,13,4,1,7,14,9,1,9,2,2,25,3,2,0,2026-06-19 12:57:02
2022-04-04,Monday,Weekday,142,7,5,4,5,1,2,1,0,2,13,0,1,1,1,10,2,2,4,1,2,3,3,30,6,2,7,1,0,1,1,3,3,9,2,2,0,0,3,2,2026-06-19 12:57:02
2022-04-05,Tuesday,Weekday,230,15,2,0,4,2,0,8,1,6,4,1,3,12,2,10,1,11,1,6,5,18,4,0,0,11,6,10,1,3,0,18,6,14,1,6,10,3,10,15,2026-06-19 12:57:02
2022-04-06,Wednesday,Weekday,264,11,6,1,1,33,0,8,7,5,33,2,3,0,3,1,3,11,14,1,3,18,0,0,1,5,1,20,2,4,1,3,6,8,6,5,23,9,6,0,2026-06-19 12:57:02
2022-04-07,Thursday,Weekday,342,0,0,10,6,11,17,21,20,3,18,3,2,2,3,5,16,2,14,9,5,7,5,7,5,2,2,8,26,3,15,9,20,14,6,10,27,5,4,0,2026-06-19 12:57:02
2022-04-08,Friday,Weekday,271,10,11,0,6,8,1,28,1,0,8,10,0,9,4,0,1,6,4,20,11,31,1,24,3,3,0,0,9,5,1,7,1,6,2,11,18,5,4,2,2026-06-19 12:57:02
2022-04-09,Saturday,Weekend,626,25,8,3,1,14,9,30,3,8,43,31,8,12,8,48,1,47,17,14,0,10,8,4,17,59,13,24,1,8,2,12,34,15,2,6,20,8,27,26,2026-06-19 12:57:02
2022-04-10,Sunday,Weekend,525,9,7,4,1,11,5,17,13,1,10,3,3,20,0,8,2,33,12,5,8,17,44,4,34,39,33,12,16,7,16,8,16,7,19,26,4,25,9,17,2026-06-19 12:57:02
2022-04-11,Monday,Weekday,188,2,2,14,1,10,3,4,1,4,3,0,1,0,19,15,2,5,2,5,7,17,2,6,1,20,0,4,6,5,1,10,1,3,1,1,5,3,1,1,2026-06-19 12:57:02
2022-04-12,Tuesday,Weekday,216,4,6,16,0,4,1,0,6,7,2,1,0,11,24,1,1,15,19,3,0,0,6,3,0,5,0,11,3,0,6,3,19,5,2,8,3,15,2,4,2026-06-19 12:57:02
2022-04-13,Wednesday,Weekday,227,1,3,13,15,2,2,11,25,1,7,3,15,1,1,12,0,5,4,3,4,5,1,6,15,12,1,1,2,4,4,8,0,0,3,10,2,9,2,14,2026-06-19 12:57:02
2022-04-14,Thursday,Weekday,235,9,2,3,2,2,5,9,6,7,3,1,5,3,5,1,0,22,2,25,20,8,6,4,10,1,3,7,2,3,1,3,9,1,15,5,13,4,8,0,2026-06-19 12:57:02
2022-04-15,Friday,Weekday,221,6,0,10,29,2,1,9,2,9,0,1,22,6,11,2,7,5,6,7,5,2,2,9,1,8,1,5,8,1,0,1,5,8,0,7,4,4,13,2,2026-06-19 12:57:02
2022-04-16,Saturday,Weekend,567,11,1,1,7,0,13,10,14,3,8,19,64,1,34,13,13,15,1,1,17,7,47,9,3,21,7,14,22,48,29,14,18,36,5,0,9,4,15,13,2026-06-19 12:57:02
2022-04-17,Sunday,Weekend,464,11,1,18,7,24,11,5,2,1,38,42,14,1,7,15,23,1,0,20,6,3,0,10,23,55,10,12,1,12,6,9,6,3,1,5,2,2,50,7,2026-06-19 12:57:02
2022-04-18,Monday,Weekday,185,2,8,29,4,13,2,2,3,5,8,2,1,5,1,5,7,6,6,9,3,6,4,1,0,3,3,4,11,1,1,15,1,2,3,5,0,0,1,3,2026-06-19 12:57:02
2022-04-19,Tuesday,Weekday,199,3,1,7,8,0,3,7,2,3,7,14,9,6,7,2,7,3,1,8,5,3,12,0,2,0,8,8,3,6,2,7,3,3,14,1,2,5,15,2,2026-06-19 12:57:02
2022-04-20,Wednesday,Weekday,308,0,1,6,2,12,37,6,3,4,2,20,3,4,10,6,9,0,13,26,10,30,2,5,9,8,4,4,1,3,2,9,1,0,7,9,19,8,2,11,2026-06-19 12:57:02
2022-04-21,Thursday,Weekday,243,6,1,6,15,4,1,1,1,4,7,0,17,7,4,10,0,3,6,9,9,1,16,1,11,18,1,7,0,3,4,3,13,5,4,7,21,0,17,0,2026-06-19 12:57:02
2022-04-22,Friday,Weekday,233,10,4,3,5,10,3,0,6,14,4,2,4,0,13,12,5,2,11,6,11,7,10,5,4,22,6,6,2,7,6,1,0,5,9,5,2,7,0,4,2026-06-19 12:57:02
2022-04-23,Saturday,Weekend,522,3,2,5,8,2,6,12,11,7,44,2,11,1,1,14,15,33,14,53,1,1,1,2,11,19,1,46,26,5,1,3,2,2,11,4,11,74,17,40,2026-06-19 12:57:02
2022-04-24,Sunday,Weekend,484,4,6,12,1,0,13,11,7,10,11,0,5,2,1,42,12,18,4,6,4,1,2,23,15,12,9,39,1,5,6,17,64,4,25,21,5,8,7,51,2026-06-19 12:57:02
2022-04-25,Monday,Weekday,176,0,5,1,5,3,3,6,7,9,0,5,1,2,3,2,3,22,1,5,2,1,1,13,9,11,22,1,2,6,3,1,2,4,3,1,4,3,3,1,2026-06-19 12:57:02
2022-04-26,Tuesday,Weekday,140,4,0,2,7,5,1,5,3,7,7,4,2,1,2,3,5,3,1,0,3,2,6,0,4,11,1,3,0,5,4,2,3,8,1,0,11,3,8,3,2026-06-19 12:57:02
2022-04-27,Wednesday,Weekday,116,5,1,4,7,5,1,1,1,0,2,2,3,2,3,0,0,1,2,0,0,2,4,0,3,3,4,8,0,1,6,1,2,2,3,7,22,3,0,5,2026-06-19 12:57:02
2022-04-28,Thursday,Weekday,265,1,1,19,1,3,1,15,4,9,3,9,8,3,3,2,30,7,24,3,10,9,7,22,3,1,9,10,5,1,6,3,3,6,8,1,4,1,1,9,2026-06-19 12:57:02
